'global_time':0.02, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0.477
'global_time':2.249626, 'head_position_x':-0.4268116, 'head_position_y':1.100566, 'head_position_z':-0.4352773
'global_time':2.261032, 'head_position_x':-0.4259928, 'head_position_y':1.100491, 'head_position_z':-0.4363829
'global_time':2.273603, 'head_position_x':-0.4251673, 'head_position_y':1.100417, 'head_position_z':-0.4374424
'global_time':2.286736, 'head_position_x':-0.4223321, 'head_position_y':1.103464, 'head_position_z':-0.4399977
'global_time':2.299298, 'head_position_x':-0.4215291, 'head_position_y':1.103509, 'head_position_z':-0.4410098
'global_time':2.311304, 'head_position_x':-0.4141344, 'head_position_y':1.107726, 'head_position_z':-0.4461164
'global_time':2.323434, 'head_position_x':-0.4133218, 'head_position_y':1.10786, 'head_position_z':-0.4471075
'global_time':2.334981, 'head_position_x':-0.4108953, 'head_position_y':1.108275, 'head_position_z':-0.4485411
'global_time':2.346417, 'head_position_x':-0.4092987, 'head_position_y':1.108459, 'head_position_z':-0.4504903
'global_time':2.357821, 'head_position_x':-0.4085452, 'head_position_y':1.108528, 'head_position_z':-0.4514309
'global_time':2.370618, 'head_position_x':-0.4092665, 'head_position_y':1.106761, 'head_position_z':-0.4515196
'global_time':2.381778, 'head_position_x':-0.4085898, 'head_position_y':1.106736, 'head_position_z':-0.4523977
'global_time':2.398259, 'head_position_x':-0.4079306, 'head_position_y':1.106715, 'head_position_z':-0.4532679
'global_time':2.410085, 'head_position_x':-0.4072799, 'head_position_y':1.106708, 'head_position_z':-0.4541512
'global_time':2.421791, 'head_position_x':-0.4071637, 'head_position_y':1.106029, 'head_position_z':-0.4549987
'global_time':2.435628, 'head_position_x':-0.4059494, 'head_position_y':1.105953, 'head_position_z':-0.4565898
'global_time':2.447704, 'head_position_x':-0.4053669, 'head_position_y':1.105922, 'head_position_z':-0.457355
'global_time':2.459814, 'head_position_x':-0.4049017, 'head_position_y':1.105553, 'head_position_z':-0.4580808
'global_time':2.471312, 'head_position_x':-0.4043351, 'head_position_y':1.10546, 'head_position_z':-0.4587482
'global_time':2.483366, 'head_position_x':-0.4037899, 'head_position_y':1.105366, 'head_position_z':-0.4593715
'global_time':2.496296, 'head_position_x':-0.4032226, 'head_position_y':1.105131, 'head_position_z':-0.4599794
'global_time':2.509306, 'head_position_x':-0.402678, 'head_position_y':1.105039, 'head_position_z':-0.4605319
'global_time':2.518505, 'head_position_x':-0.4021397, 'head_position_y':1.104989, 'head_position_z':-0.461104
'global_time':2.531436, 'head_position_x':-0.4015758, 'head_position_y':1.104918, 'head_position_z':-0.4616727
'global_time':2.544709, 'head_position_x':-0.4010679, 'head_position_y':1.104813, 'head_position_z':-0.4622338
'global_time':2.5614, 'head_position_x':-0.4001263, 'head_position_y':1.104542, 'head_position_z':-0.4634017
'global_time':2.572807, 'head_position_x':-0.4027115, 'head_position_y':1.102571, 'head_position_z':-0.4613606
'global_time':2.585239, 'head_position_x':-0.4023558, 'head_position_y':1.102387, 'head_position_z':-0.4618125
