'global_time':5.052792, 'center_x':-2.199999, 'center_y':2, 'center_z':6, 'gaze_x':-2.608442, 'gaze_y':2.067642, 'gaze_z':5.996364
'global_time':5.068718, 'center_x':-2.099999, 'center_y':2, 'center_z':6, 'gaze_x':-2.552402, 'gaze_y':2.076405, 'gaze_z':5.996325
'global_time':5.079955, 'center_x':-1.999999, 'center_y':2, 'center_z':6, 'gaze_x':-2.492139, 'gaze_y':2.084987, 'gaze_z':5.996289
'global_time':5.092169, 'center_x':-1.899999, 'center_y':2, 'center_z':6, 'gaze_x':-2.425333, 'gaze_y':2.089027, 'gaze_z':5.996287
'global_time':5.103664, 'center_x':-1.799999, 'center_y':2, 'center_z':6, 'gaze_x':-2.349142, 'gaze_y':2.088121, 'gaze_z':5.996321
'global_time':5.116182, 'center_x':-1.699999, 'center_y':2, 'center_z':6, 'gaze_x':-2.27534, 'gaze_y':2.086076, 'gaze_z':5.996361
'global_time':5.126752, 'center_x':-1.599999, 'center_y':2, 'center_z':6, 'gaze_x':-2.196185, 'gaze_y':2.08275, 'gaze_z':5.996412
'global_time':5.137002, 'center_x':-1.499999, 'center_y':2, 'center_z':6, 'gaze_x':-2.116074, 'gaze_y':2.079227, 'gaze_z':5.996458
'global_time':5.149953, 'center_x':-1.399999, 'center_y':2, 'center_z':6, 'gaze_x':-2.035218, 'gaze_y':2.077257, 'gaze_z':5.996495
'global_time':5.161329, 'center_x':-1.299999, 'center_y':2, 'center_z':6, 'gaze_x':-1.957034, 'gaze_y':2.074663, 'gaze_z':5.996536
'global_time':5.174711, 'center_x':-1.2, 'center_y':2, 'center_z':6, 'gaze_x':-1.785576, 'gaze_y':2.07233, 'gaze_z':5.996608
'global_time':5.186431, 'center_x':-1.1, 'center_y':2, 'center_z':6, 'gaze_x':-1.697516, 'gaze_y':2.07021, 'gaze_z':5.996656
'global_time':5.199022, 'center_x':-0.9999997, 'center_y':2, 'center_z':6, 'gaze_x':-1.606997, 'gaze_y':2.06755, 'gaze_z':5.996707
'global_time':5.213164, 'center_x':-0.8999997, 'center_y':2, 'center_z':6, 'gaze_x':-1.51514, 'gaze_y':2.064405, 'gaze_z':5.996766
'global_time':5.225916, 'center_x':-0.7999998, 'center_y':2, 'center_z':6, 'gaze_x':-1.421636, 'gaze_y':2.059551, 'gaze_z':5.996839
'global_time':5.237496, 'center_x':-0.6999998, 'center_y':2, 'center_z':6, 'gaze_x':-1.328254, 'gaze_y':2.055161, 'gaze_z':5.996914
'global_time':5.249517, 'center_x':-0.5999998, 'center_y':2, 'center_z':6, 'gaze_x':-1.234286, 'gaze_y':2.052311, 'gaze_z':5.996979
'global_time':5.262383, 'center_x':-0.4999999, 'center_y':2, 'center_z':6, 'gaze_x':-1.136029, 'gaze_y':2.047577, 'gaze_z':5.997062
'global_time':5.275431, 'center_x':-0.3999999, 'center_y':2, 'center_z':6, 'gaze_x':-0.9375986, 'gaze_y':2.037277, 'gaze_z':5.997241
'global_time':5.286175, 'center_x':-0.3, 'center_y':2, 'center_z':6, 'gaze_x':-0.8357483, 'gaze_y':2.0309, 'gaze_z':5.997343
'global_time':5.298521, 'center_x':-0.2, 'center_y':2, 'center_z':6, 'gaze_x':-0.7307821, 'gaze_y':2.026072, 'gaze_z':5.997437
'global_time':5.312708, 'center_x':-0.1, 'center_y':2, 'center_z':6, 'gaze_x':-0.6288328, 'gaze_y':2.022618, 'gaze_z':5.997523
'global_time':5.325463, 'center_x':-5.960464E-08, 'center_y':2, 'center_z':6, 'gaze_x':-0.5269268, 'gaze_y':2.019188, 'gaze_z':5.997612
'global_time':5.337652, 'center_x':0.0999999, 'center_y':2, 'center_z':6, 'gaze_x':-0.4249819, 'gaze_y':2.015991, 'gaze_z':5.997701
'global_time':5.350607, 'center_x':0.1999999, 'center_y':2, 'center_z':6, 'gaze_x':-0.3242033, 'gaze_y':2.01541, 'gaze_z':5.997772
'global_time':5.364007, 'center_x':0.2999998, 'center_y':2, 'center_z':6, 'gaze_x':-0.1142875, 'gaze_y':2.013245, 'gaze_z':5.997935
'global_time':5.376997, 'center_x':0.3999998, 'center_y':2, 'center_z':6, 'gaze_x':-0.001863711, 'gaze_y':2.014913, 'gaze_z':5.998005
'global_time':5.388945, 'center_x':0.4999998, 'center_y':2, 'center_z':6, 'gaze_x':0.1131466, 'gaze_y':2.014678, 'gaze_z':5.998093
'global_time':5.402157, 'center_x':0.5999997, 'center_y':2, 'center_z':6, 'gaze_x':0.2281705, 'gaze_y':2.012139, 'gaze_z':5.9982
'global_time':5.413655, 'center_x':0.6999997, 'center_y':2, 'center_z':6, 'gaze_x':0.3435182, 'gaze_y':2.010672, 'gaze_z':5.998301
'global_time':5.425742, 'center_x':0.7999997, 'center_y':2, 'center_z':6, 'gaze_x':0.4605913, 'gaze_y':2.011508, 'gaze_z':5.99839
'global_time':5.43646, 'center_x':0.8999996, 'center_y':2, 'center_z':6, 'gaze_x':0.5795502, 'gaze_y':2.016649, 'gaze_z':5.998454
'global_time':5.447573, 'center_x':0.9999996, 'center_y':2, 'center_z':6, 'gaze_x':0.6996261, 'gaze_y':2.021055, 'gaze_z':5.998527
'global_time':5.458707, 'center_x':1.1, 'center_y':2, 'center_z':6, 'gaze_x':0.8246797, 'gaze_y':2.024064, 'gaze_z':5.998617
'global_time':5.46998, 'center_x':1.2, 'center_y':2, 'center_z':6, 'gaze_x':0.946433, 'gaze_y':2.02703, 'gaze_z':5.998706
'global_time':5.481776, 'center_x':1.299999, 'center_y':2, 'center_z':6, 'gaze_x':1.073457, 'gaze_y':2.031089, 'gaze_z':5.998796
'global_time':5.492692, 'center_x':1.399999, 'center_y':2, 'center_z':6, 'gaze_x':1.205912, 'gaze_y':2.036156, 'gaze_z':5.998888
'global_time':5.506732, 'center_x':1.499999, 'center_y':2, 'center_z':6, 'gaze_x':1.344019, 'gaze_y':2.043748, 'gaze_z':5.998971
'global_time':5.519934, 'center_x':1.599999, 'center_y':2, 'center_z':6, 'gaze_x':1.628827, 'gaze_y':2.057115, 'gaze_z':5.999177
