'global_time':0.02, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0
'global_time':2.669002, 'head_position_x':-0.1047167, 'head_position_y':1.685795, 'head_position_z':-0.8872707
'global_time':2.680714, 'head_position_x':-0.1042703, 'head_position_y':1.685784, 'head_position_z':-0.8870529
'global_time':2.695007, 'head_position_x':-0.1038737, 'head_position_y':1.685769, 'head_position_z':-0.8866795
'global_time':2.70484, 'head_position_x':-0.1034794, 'head_position_y':1.685776, 'head_position_z':-0.8864532
'global_time':2.717308, 'head_position_x':-0.1031534, 'head_position_y':1.685684, 'head_position_z':-0.8863085
'global_time':2.727896, 'head_position_x':-0.1028193, 'head_position_y':1.685645, 'head_position_z':-0.8859814
'global_time':2.741077, 'head_position_x':-0.1024204, 'head_position_y':1.685651, 'head_position_z':-0.885754
'global_time':2.752577, 'head_position_x':-0.1018643, 'head_position_y':1.685829, 'head_position_z':-0.8851559
'global_time':2.763788, 'head_position_x':-0.1016161, 'head_position_y':1.685929, 'head_position_z':-0.8847246
'global_time':2.775177, 'head_position_x':-0.1013643, 'head_position_y':1.685926, 'head_position_z':-0.8845915
'global_time':2.791896, 'head_position_x':-0.1010475, 'head_position_y':1.685985, 'head_position_z':-0.884391
'global_time':2.804122, 'head_position_x':-0.1008116, 'head_position_y':1.686102, 'head_position_z':-0.8839942
'global_time':2.816118, 'head_position_x':-0.1005468, 'head_position_y':1.686172, 'head_position_z':-0.8837727
'global_time':2.829, 'head_position_x':-0.1003388, 'head_position_y':1.686202, 'head_position_z':-0.8836236
'global_time':2.839391, 'head_position_x':-0.1000911, 'head_position_y':1.686276, 'head_position_z':-0.8833928
'global_time':2.85078, 'head_position_x':-0.09997334, 'head_position_y':1.686332, 'head_position_z':-0.8830333
'global_time':2.862856, 'head_position_x':-0.09965689, 'head_position_y':1.686462, 'head_position_z':-0.8825871
'global_time':2.875751, 'head_position_x':-0.09941067, 'head_position_y':1.6865, 'head_position_z':-0.8823857
'global_time':2.887758, 'head_position_x':-0.09930874, 'head_position_y':1.68655, 'head_position_z':-0.8820041
'global_time':2.900316, 'head_position_x':-0.09918696, 'head_position_y':1.686497, 'head_position_z':-0.8818493
'global_time':2.911632, 'head_position_x':-0.09898625, 'head_position_y':1.6865, 'head_position_z':-0.8816516
'global_time':2.92405, 'head_position_x':-0.09875325, 'head_position_y':1.686535, 'head_position_z':-0.8813227
'global_time':2.935701, 'head_position_x':-0.09856144, 'head_position_y':1.686514, 'head_position_z':-0.8810991
'global_time':2.947821, 'head_position_x':-0.09836291, 'head_position_y':1.686459, 'head_position_z':-0.8809984
'global_time':2.961515, 'head_position_x':-0.09818897, 'head_position_y':1.686453, 'head_position_z':-0.8807704
'global_time':2.973337, 'head_position_x':-0.09799809, 'head_position_y':1.686469, 'head_position_z':-0.8804187
'global_time':2.9852, 'head_position_x':-0.09778637, 'head_position_y':1.686456, 'head_position_z':-0.8799374
'global_time':2.998258, 'head_position_x':-0.09771348, 'head_position_y':1.686427, 'head_position_z':-0.8798203
'global_time':3.011646, 'head_position_x':-0.09771156, 'head_position_y':1.686404, 'head_position_z':-0.8796297
'global_time':3.023868, 'head_position_x':-0.09778972, 'head_position_y':1.686305, 'head_position_z':-0.8794693
'global_time':3.03614, 'head_position_x':-0.0977928, 'head_position_y':1.686246, 'head_position_z':-0.879303
'global_time':3.04702, 'head_position_x':-0.09786799, 'head_position_y':1.686184, 'head_position_z':-0.8789744
'global_time':3.060782, 'head_position_x':-0.0978627, 'head_position_y':1.686098, 'head_position_z':-0.8788094
'global_time':3.072247, 'head_position_x':-0.09803747, 'head_position_y':1.685944, 'head_position_z':-0.878754
'global_time':3.084026, 'head_position_x':-0.09823281, 'head_position_y':1.685927, 'head_position_z':-0.878468
'global_time':3.097583, 'head_position_x':-0.09852307, 'head_position_y':1.685785, 'head_position_z':-0.8783125
'global_time':3.111053, 'head_position_x':-0.09862795, 'head_position_y':1.685604, 'head_position_z':-0.8784012
'global_time':3.125493, 'head_position_x':-0.09887122, 'head_position_y':1.685501, 'head_position_z':-0.8782676
'global_time':3.137907, 'head_position_x':-0.0990442, 'head_position_y':1.685468, 'head_position_z':-0.8781026
'global_time':3.149524, 'head_position_x':-0.09944318, 'head_position_y':1.685355, 'head_position_z':-0.8780415
'global_time':3.161925, 'head_position_x':-0.09964377, 'head_position_y':1.685244, 'head_position_z':-0.8780253
'global_time':3.171988, 'head_position_x':-0.09987789, 'head_position_y':1.685193, 'head_position_z':-0.8778726
'global_time':3.182197, 'head_position_x':-0.1003951, 'head_position_y':1.685015, 'head_position_z':-0.8777339
'global_time':3.195803, 'head_position_x':-0.1006026, 'head_position_y':1.684924, 'head_position_z':-0.8777431
'global_time':3.205215, 'head_position_x':-0.1008513, 'head_position_y':1.684937, 'head_position_z':-0.877535
'global_time':3.217689, 'head_position_x':-0.1011016, 'head_position_y':1.68492, 'head_position_z':-0.8775006
'global_time':3.229195, 'head_position_x':-0.1017536, 'head_position_y':1.684969, 'head_position_z':-0.8774403
'global_time':3.240862, 'head_position_x':-0.1021022, 'head_position_y':1.685112, 'head_position_z':-0.8771645
'global_time':3.253357, 'head_position_x':-0.1024481, 'head_position_y':1.685266, 'head_position_z':-0.8770479
'global_time':3.264527, 'head_position_x':-0.1028948, 'head_position_y':1.685354, 'head_position_z':-0.8768485
'global_time':3.276381, 'head_position_x':-0.1033696, 'head_position_y':1.685599, 'head_position_z':-0.8764684
'global_time':3.287326, 'head_position_x':-0.1036708, 'head_position_y':1.685833, 'head_position_z':-0.8763458
'global_time':3.300611, 'head_position_x':-0.1041026, 'head_position_y':1.685996, 'head_position_z':-0.8762577
'global_time':3.31158, 'head_position_x':-0.104414, 'head_position_y':1.686219, 'head_position_z':-0.87616
'global_time':3.322412, 'head_position_x':-0.1048534, 'head_position_y':1.686522, 'head_position_z':-0.875833
'global_time':3.333852, 'head_position_x':-0.1051773, 'head_position_y':1.686746, 'head_position_z':-0.8757207
'global_time':3.34679, 'head_position_x':-0.1056072, 'head_position_y':1.686966, 'head_position_z':-0.8757514
'global_time':3.358298, 'head_position_x':-0.1060267, 'head_position_y':1.687241, 'head_position_z':-0.8757026
'global_time':3.373085, 'head_position_x':-0.1064099, 'head_position_y':1.68761, 'head_position_z':-0.875618
'global_time':3.384853, 'head_position_x':-0.1074084, 'head_position_y':1.68815, 'head_position_z':-0.8756768
'global_time':3.398941, 'head_position_x':-0.1083497, 'head_position_y':1.68846, 'head_position_z':-0.87521
'global_time':3.410469, 'head_position_x':-0.1087963, 'head_position_y':1.68872, 'head_position_z':-0.8751804
'global_time':3.422387, 'head_position_x':-0.1094772, 'head_position_y':1.688935, 'head_position_z':-0.875125
'global_time':3.433754, 'head_position_x':-0.1099097, 'head_position_y':1.689131, 'head_position_z':-0.8751286
'global_time':3.446448, 'head_position_x':-0.1103608, 'head_position_y':1.689353, 'head_position_z':-0.8749467
'global_time':3.458426, 'head_position_x':-0.1107261, 'head_position_y':1.689489, 'head_position_z':-0.8748963
'global_time':3.470187, 'head_position_x':-0.1111448, 'head_position_y':1.689598, 'head_position_z':-0.8749533
'global_time':3.482255, 'head_position_x':-0.1115516, 'head_position_y':1.689653, 'head_position_z':-0.8748522
'global_time':3.494331, 'head_position_x':-0.111863, 'head_position_y':1.689871, 'head_position_z':-0.8746294
'global_time':3.50562, 'head_position_x':-0.1123287, 'head_position_y':1.689923, 'head_position_z':-0.8745381
'global_time':3.517243, 'head_position_x':-0.1127083, 'head_position_y':1.690026, 'head_position_z':-0.8744332
'global_time':3.529426, 'head_position_x':-0.1129989, 'head_position_y':1.690154, 'head_position_z':-0.8742465
'global_time':3.541419, 'head_position_x':-0.1138416, 'head_position_y':1.690235, 'head_position_z':-0.8741476
'global_time':3.553874, 'head_position_x':-0.1142002, 'head_position_y':1.690277, 'head_position_z':-0.8740599
'global_time':3.56554, 'head_position_x':-0.1144372, 'head_position_y':1.690324, 'head_position_z':-0.873872
'global_time':3.5771, 'head_position_x':-0.1147023, 'head_position_y':1.69046, 'head_position_z':-0.8738214
'global_time':3.587092, 'head_position_x':-0.1149524, 'head_position_y':1.690494, 'head_position_z':-0.8736082
'global_time':3.597733, 'head_position_x':-0.1148656, 'head_position_y':1.690677, 'head_position_z':-0.8733296
'global_time':3.608587, 'head_position_x':-0.1148345, 'head_position_y':1.690792, 'head_position_z':-0.8729417
'global_time':3.620749, 'head_position_x':-0.1145968, 'head_position_y':1.690947, 'head_position_z':-0.8726243
'global_time':3.631971, 'head_position_x':-0.1143163, 'head_position_y':1.690924, 'head_position_z':-0.8722057
'global_time':3.643355, 'head_position_x':-0.1136029, 'head_position_y':1.691056, 'head_position_z':-0.8715812
'global_time':3.65368, 'head_position_x':-0.1128427, 'head_position_y':1.691122, 'head_position_z':-0.870878
'global_time':3.66488, 'head_position_x':-0.1117029, 'head_position_y':1.691161, 'head_position_z':-0.8704067
'global_time':3.676953, 'head_position_x':-0.1104494, 'head_position_y':1.691239, 'head_position_z':-0.8694242
'global_time':3.687568, 'head_position_x':-0.1091757, 'head_position_y':1.691335, 'head_position_z':-0.8684422
'global_time':3.696919, 'head_position_x':-0.1077473, 'head_position_y':1.691344, 'head_position_z':-0.8676321
'global_time':3.708644, 'head_position_x':-0.1063197, 'head_position_y':1.69141, 'head_position_z':-0.8666021
'global_time':3.721431, 'head_position_x':-0.1045097, 'head_position_y':1.691507, 'head_position_z':-0.8656275
