'gaze_vector':0.02, 'gaze_vector_x':0, 'gaze_vector_y':0, 'gaze_vector_z':0
'gaze_vector':3.13837, 'gaze_vector_x':-0.4497811, 'gaze_vector_y':0.0547116, 'gaze_vector_z':0.8914522
'gaze_vector':3.151298, 'gaze_vector_x':-0.4558774, 'gaze_vector_y':0.04760502, 'gaze_vector_z':0.8887523
'gaze_vector':3.163695, 'gaze_vector_x':-0.4428364, 'gaze_vector_y':0.05619484, 'gaze_vector_z':0.8948324
'gaze_vector':3.175718, 'gaze_vector_x':-0.4553589, 'gaze_vector_y':0.05038471, 'gaze_vector_z':0.8888747
'gaze_vector':3.187773, 'gaze_vector_x':-0.4468659, 'gaze_vector_y':0.04599068, 'gaze_vector_z':0.8934066
'gaze_vector':3.199898, 'gaze_vector_x':-0.437104, 'gaze_vector_y':0.04905648, 'gaze_vector_z':0.8980609
'gaze_vector':3.210187, 'gaze_vector_x':-0.4377718, 'gaze_vector_y':0.04590778, 'gaze_vector_z':0.8979002
'gaze_vector':3.22212, 'gaze_vector_x':-0.4308037, 'gaze_vector_y':0.0488874, 'gaze_vector_z':0.9011098
'gaze_vector':3.235466, 'gaze_vector_x':-0.4235615, 'gaze_vector_y':0.0482944, 'gaze_vector_z':0.904574
'gaze_vector':3.247059, 'gaze_vector_x':-0.4240516, 'gaze_vector_y':0.04687735, 'gaze_vector_z':0.9044206
'gaze_vector':3.259377, 'gaze_vector_x':-0.4517822, 'gaze_vector_y':0.03697087, 'gaze_vector_z':0.891359
'gaze_vector':3.271127, 'gaze_vector_x':-0.4638108, 'gaze_vector_y':0.04702812, 'gaze_vector_z':0.8846782
'gaze_vector':3.284336, 'gaze_vector_x':-0.4577758, 'gaze_vector_y':0.04557547, 'gaze_vector_z':0.8878929
'gaze_vector':3.296604, 'gaze_vector_x':-0.4533595, 'gaze_vector_y':0.04626018, 'gaze_vector_z':0.890111
'gaze_vector':3.308161, 'gaze_vector_x':-0.4452052, 'gaze_vector_y':0.04652279, 'gaze_vector_z':0.8942145
'gaze_vector':3.319888, 'gaze_vector_x':-0.4241122, 'gaze_vector_y':0.05020953, 'gaze_vector_z':0.9042076
'gaze_vector':3.332703, 'gaze_vector_x':-0.3952366, 'gaze_vector_y':0.05579862, 'gaze_vector_z':0.916874
'gaze_vector':3.34269, 'gaze_vector_x':-0.3971508, 'gaze_vector_y':0.05481329, 'gaze_vector_z':0.9161021
'gaze_vector':3.353561, 'gaze_vector_x':-0.3859771, 'gaze_vector_y':0.05650673, 'gaze_vector_z':0.9207594
