'global_time':2.585217, 'center_x':0.3999999, 'center_y':2, 'center_z':6, 'gaze_x':1.181748, 'gaze_y':1.93909, 'gaze_z':5.99493
'global_time':2.598548, 'center_x':0.3199999, 'center_y':2, 'center_z':6, 'gaze_x':0.767759, 'gaze_y':2.169751, 'gaze_z':5.994906
'global_time':2.60924, 'center_x':0.2399999, 'center_y':2, 'center_z':6, 'gaze_x':0.6968287, 'gaze_y':2.223718, 'gaze_z':5.994914
'global_time':2.619335, 'center_x':0.1599999, 'center_y':2, 'center_z':6, 'gaze_x':0.6930689, 'gaze_y':2.208166, 'gaze_z':5.99489
'global_time':2.633547, 'center_x':0.07999997, 'center_y':2, 'center_z':6, 'gaze_x':0.5829515, 'gaze_y':2.154178, 'gaze_z':5.994838
'global_time':2.646773, 'center_x':0, 'center_y':2, 'center_z':6, 'gaze_x':0.498131, 'gaze_y':2.184283, 'gaze_z':5.994768
'global_time':2.658049, 'center_x':-0.07999997, 'center_y':2, 'center_z':6, 'gaze_x':0.472333, 'gaze_y':2.153632, 'gaze_z':5.994758
'global_time':2.669152, 'center_x':-0.1599999, 'center_y':2, 'center_z':6, 'gaze_x':0.4036046, 'gaze_y':2.189546, 'gaze_z':5.994715
'global_time':2.682666, 'center_x':-0.2399999, 'center_y':2, 'center_z':6, 'gaze_x':0.3221055, 'gaze_y':2.208636, 'gaze_z':5.994596
'global_time':2.694611, 'center_x':-0.3199999, 'center_y':2, 'center_z':6, 'gaze_x':0.2419457, 'gaze_y':2.177, 'gaze_z':5.994567
'global_time':2.706052, 'center_x':-0.3999999, 'center_y':2, 'center_z':6, 'gaze_x':0.1900151, 'gaze_y':2.194732, 'gaze_z':5.994564
'global_time':2.719951, 'center_x':-0.4799998, 'center_y':2, 'center_z':6, 'gaze_x':0.1322171, 'gaze_y':2.203205, 'gaze_z':5.994523
'global_time':2.730805, 'center_x':-0.5599998, 'center_y':2, 'center_z':6, 'gaze_x':0.09089205, 'gaze_y':2.196515, 'gaze_z':5.994494
'global_time':2.742748, 'center_x':-0.6399998, 'center_y':2, 'center_z':6, 'gaze_x':0.04149106, 'gaze_y':2.206393, 'gaze_z':5.994522
'global_time':2.753074, 'center_x':-0.7199998, 'center_y':2, 'center_z':6, 'gaze_x':-0.0117172, 'gaze_y':2.218895, 'gaze_z':5.994536
'global_time':2.766832, 'center_x':-0.7999998, 'center_y':2, 'center_z':6, 'gaze_x':-0.04151919, 'gaze_y':2.23571, 'gaze_z':5.994458
'global_time':2.777774, 'center_x':-0.8799998, 'center_y':2, 'center_z':6, 'gaze_x':-0.07512707, 'gaze_y':2.256813, 'gaze_z':5.994426
'global_time':2.78964, 'center_x':-0.9599997, 'center_y':2, 'center_z':6, 'gaze_x':-0.06909648, 'gaze_y':2.262195, 'gaze_z':5.994458
'global_time':2.801133, 'center_x':-1.04, 'center_y':2, 'center_z':6, 'gaze_x':-0.1188607, 'gaze_y':2.264048, 'gaze_z':5.994387
'global_time':2.815293, 'center_x':-1.12, 'center_y':2, 'center_z':6, 'gaze_x':-0.4655922, 'gaze_y':2.227407, 'gaze_z':5.99435
'global_time':2.826856, 'center_x':-1.2, 'center_y':2, 'center_z':6, 'gaze_x':-0.7700621, 'gaze_y':2.173769, 'gaze_z':5.994346
'global_time':2.838493, 'center_x':-1.279999, 'center_y':2, 'center_z':6, 'gaze_x':-0.9979436, 'gaze_y':2.161372, 'gaze_z':5.99434
