'global_time':5.59743, 'center_x':2.899998, 'center_y':2, 'center_z':6, 'gaze_x':3.075016, 'gaze_y':2.115836, 'gaze_z':5.997871
'global_time':5.613969, 'center_x':2.999998, 'center_y':2, 'center_z':6, 'gaze_x':3.272165, 'gaze_y':2.148631, 'gaze_z':5.997963
'global_time':5.627114, 'center_x':3.099998, 'center_y':2, 'center_z':6, 'gaze_x':3.357407, 'gaze_y':2.146682, 'gaze_z':5.998086
'global_time':5.639165, 'center_x':3.199998, 'center_y':2, 'center_z':6, 'gaze_x':3.447604, 'gaze_y':2.140453, 'gaze_z':5.998103
'global_time':5.651076, 'center_x':3.299998, 'center_y':2, 'center_z':6, 'gaze_x':3.491732, 'gaze_y':2.108486, 'gaze_z':5.99817
'global_time':5.66474, 'center_x':3.399997, 'center_y':2, 'center_z':6, 'gaze_x':3.543731, 'gaze_y':2.071667, 'gaze_z':5.998222
'global_time':5.6782, 'center_x':3.499997, 'center_y':2, 'center_z':6, 'gaze_x':3.712474, 'gaze_y':2.07621, 'gaze_z':5.998431
'global_time':5.688828, 'center_x':3.599997, 'center_y':2, 'center_z':6, 'gaze_x':3.779961, 'gaze_y':2.087444, 'gaze_z':5.998503
'global_time':5.703877, 'center_x':3.699997, 'center_y':2, 'center_z':6, 'gaze_x':3.847188, 'gaze_y':2.084343, 'gaze_z':5.998528
'global_time':5.7155, 'center_x':3.799997, 'center_y':2, 'center_z':6, 'gaze_x':3.942653, 'gaze_y':2.07774, 'gaze_z':5.998538
'global_time':5.727243, 'center_x':3.899997, 'center_y':2, 'center_z':6, 'gaze_x':4.043893, 'gaze_y':2.086198, 'gaze_z':5.99861
'global_time':5.739666, 'center_x':3.999997, 'center_y':2, 'center_z':6, 'gaze_x':4.100169, 'gaze_y':2.068976, 'gaze_z':5.998651
'global_time':5.752879, 'center_x':3.899997, 'center_y':2, 'center_z':6, 'gaze_x':4.152069, 'gaze_y':2.071415, 'gaze_z':5.998642
'global_time':5.76525, 'center_x':3.899997, 'center_y':2, 'center_z':6, 'gaze_x':4.18477, 'gaze_y':2.038343, 'gaze_z':5.998699
'global_time':5.776315, 'center_x':3.799997, 'center_y':2, 'center_z':6, 'gaze_x':4.029669, 'gaze_y':1.99582, 'gaze_z':5.998728
