'global_time':45.95459, 'ChildID':2, 'pos_x':-1, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':0.5766005,  'useGaze':True, 'useVal':True
'global_time':46.58367, 'ChildID':10, 'pos_x':-4, 'pos_y':2.5, 'pos_z':3.6, 'is_correct':1, 'activated_time':0.6290842,  'useGaze':True, 'useVal':True
'global_time':47.14992, 'ChildID':11, 'pos_x':-4, 'pos_y':1, 'pos_z':3.6, 'is_correct':1, 'activated_time':0.5662411,  'useGaze':True, 'useVal':True
'global_time':2.738596, 'ChildID':1, 'pos_x':0.6, 'pos_y':1, 'pos_z':5, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':3.475111, 'ChildID':2, 'pos_x':-1, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':3.43511,  'useGaze':True, 'useVal':False
'global_time':3.853241, 'ChildID':3, 'pos_x':-1, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.378131,  'useGaze':True, 'useVal':False
'global_time':4.122738, 'ChildID':1, 'pos_x':0.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.2694968,  'useGaze':True, 'useVal':False
'global_time':3.047256, 'ChildID':0, 'pos_x':0.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':3.007256,  'useGaze':True, 'useVal':False
'global_time':3.361192, 'ChildID':5, 'pos_x':-2.6, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.3139365,  'useGaze':True, 'useVal':False
'global_time':3.650707, 'ChildID':5, 'pos_x':-2.6, 'pos_y':1, 'pos_z':5, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
'global_time':3.909769, 'ChildID':3, 'pos_x':-1, 'pos_y':1, 'pos_z':5, 'is_correct':1, 'activated_time':0.5485767,  'useGaze':True, 'useVal':False
'global_time':4.974044, 'ChildID':4, 'pos_x':-2.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':1, 'activated_time':1.064275,  'useGaze':True, 'useVal':False
'global_time':5.239892, 'ChildID':4, 'pos_x':-2.6, 'pos_y':2.5, 'pos_z':5, 'is_correct':0, 'activated_time':-1,  'useGaze':True, 'useVal':False
