'global_time':45.36371, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.39649, 'gaze_y':1.531925, 'gaze_z':4.951758, 'useGaze': True
'global_time':45.94268, 'center_x':-1, 'center_y':2.5, 'center_z':5, 'gaze_x':-1.382499, 'gaze_y':2.230671, 'gaze_z':4.94859, 'useGaze': True
'global_time':46.57139, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.951675, 'gaze_y':2.357692, 'gaze_z':3.605525, 'useGaze': True
'global_time':47.13689, 'center_x':-4, 'center_y':1, 'center_z':3.6, 'gaze_x':-3.952496, 'gaze_y':1.42076, 'gaze_z':3.763933, 'useGaze': True
'global_time':2.725882, 'center_x':0.6, 'center_y':1, 'center_z':5, 'gaze_x':0.915819, 'gaze_y':1.535175, 'gaze_z':4.94344, 'useGaze': True
'global_time':3.463692, 'center_x':-1, 'center_y':2.5, 'center_z':5, 'gaze_x':-1.107364, 'gaze_y':2.084775, 'gaze_z':4.934243, 'useGaze': True
'global_time':3.842388, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-0.9905073, 'gaze_y':1.176581, 'gaze_z':4.934965, 'useGaze': True
'global_time':4.110465, 'center_x':0.6, 'center_y':1, 'center_z':5, 'gaze_x':0.40331, 'gaze_y':1.035813, 'gaze_z':4.935883, 'useGaze': True
'global_time':3.03442, 'center_x':0.6, 'center_y':2.5, 'center_z':5, 'gaze_x':0.3481556, 'gaze_y':2.078662, 'gaze_z':4.934632, 'useGaze': True
'global_time':3.349957, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.574511, 'gaze_y':0.690926, 'gaze_z':4.935833, 'useGaze': True
'global_time':3.639225, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.507545, 'gaze_y':0.9313609, 'gaze_z':4.939662, 'useGaze': True
'global_time':3.898543, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-0.8902051, 'gaze_y':1.093832, 'gaze_z':4.939409, 'useGaze': True
'global_time':4.962693, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.115427, 'gaze_y':2.103776, 'gaze_z':4.937996, 'useGaze': True
'global_time':5.228765, 'center_x':-2.6, 'center_y':2.5, 'center_z':5, 'gaze_x':-2.100056, 'gaze_y':2.242343, 'gaze_z':4.940569, 'useGaze': True
'global_time':5.59328, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.945508, 'gaze_y':2.073373, 'gaze_z':3.702386, 'useGaze': True
'global_time':5.842376, 'center_x':-4, 'center_y':2.5, 'center_z':2, 'gaze_x':-4.00041, 'gaze_y':2.245284, 'gaze_z':1.49266, 'useGaze': True
'global_time':5.876071, 'center_x':-4, 'center_y':2.5, 'center_z':0.3999996, 'gaze_x':-3.938803, 'gaze_y':2.09405, 'gaze_z':0.595557, 'useGaze': True
'global_time':6.130346, 'center_x':-4, 'center_y':2.5, 'center_z':0.3999996, 'gaze_x':-3.934566, 'gaze_y':2.088608, 'gaze_z':0.7723539, 'useGaze': True
'global_time':6.248274, 'center_x':-4, 'center_y':1, 'center_z':2, 'gaze_x':-3.935224, 'gaze_y':1.257999, 'gaze_z':1.55586, 'useGaze': True
'global_time':6.581334, 'center_x':-4, 'center_y':2.5, 'center_z':3.6, 'gaze_x':-3.936291, 'gaze_y':2.264539, 'gaze_z':4.074388, 'useGaze': True
'global_time':7.553591, 'center_x':0.6, 'center_y':1, 'center_z':5, 'gaze_x':0.2231373, 'gaze_y':0.9294109, 'gaze_z':4.940131, 'useGaze': True
'global_time':7.834993, 'center_x':-1, 'center_y':1, 'center_z':5, 'gaze_x':-1.041191, 'gaze_y':1.233084, 'gaze_z':4.942149, 'useGaze': True
'global_time':8.070629, 'center_x':-2.6, 'center_y':1, 'center_z':5, 'gaze_x':-2.098093, 'gaze_y':0.861867, 'gaze_z':4.984872, 'useGaze': True
