'global_time':4.788223, 'center_x':2.559998, 'center_y':2, 'center_z':6, 'gaze_x':2.122902, 'gaze_y':1.867833, 'gaze_z':6.000074
'global_time':4.799706, 'center_x':2.479998, 'center_y':2, 'center_z':6, 'gaze_x':2.076016, 'gaze_y':1.869446, 'gaze_z':6.000037
'global_time':4.812036, 'center_x':2.399998, 'center_y':2, 'center_z':6, 'gaze_x':1.969609, 'gaze_y':1.87278, 'gaze_z':5.999952
'global_time':4.824106, 'center_x':2.319999, 'center_y':2, 'center_z':6, 'gaze_x':1.910989, 'gaze_y':1.873041, 'gaze_z':5.999915
'global_time':4.837925, 'center_x':2.239999, 'center_y':2, 'center_z':6, 'gaze_x':1.848931, 'gaze_y':1.87628, 'gaze_z':5.999858
'global_time':4.849814, 'center_x':2.159999, 'center_y':2, 'center_z':6, 'gaze_x':1.785133, 'gaze_y':1.878583, 'gaze_z':5.999806
'global_time':4.862615, 'center_x':2.079999, 'center_y':2, 'center_z':6, 'gaze_x':1.719153, 'gaze_y':1.881914, 'gaze_z':5.999747
'global_time':4.874699, 'center_x':1.999999, 'center_y':2, 'center_z':6, 'gaze_x':1.646998, 'gaze_y':1.883777, 'gaze_z':5.999698
'global_time':4.891967, 'center_x':1.919999, 'center_y':2, 'center_z':6, 'gaze_x':1.502777, 'gaze_y':1.886836, 'gaze_z':5.999605
'global_time':4.904113, 'center_x':1.839999, 'center_y':2, 'center_z':6, 'gaze_x':1.430775, 'gaze_y':1.890683, 'gaze_z':5.999547
'global_time':4.915967, 'center_x':1.759999, 'center_y':2, 'center_z':6, 'gaze_x':1.359263, 'gaze_y':1.897336, 'gaze_z':5.999468
'global_time':4.928202, 'center_x':1.679999, 'center_y':2, 'center_z':6, 'gaze_x':1.284446, 'gaze_y':1.906835, 'gaze_z':5.99937
'global_time':4.940843, 'center_x':1.599999, 'center_y':2, 'center_z':6, 'gaze_x':1.211692, 'gaze_y':1.914915, 'gaze_z':5.999284
'global_time':4.952981, 'center_x':1.519999, 'center_y':2, 'center_z':6, 'gaze_x':1.142055, 'gaze_y':1.924199, 'gaze_z':5.999193
'global_time':4.965598, 'center_x':1.439999, 'center_y':2, 'center_z':6, 'gaze_x':1.077224, 'gaze_y':1.935226, 'gaze_z':5.999091
'global_time':4.980398, 'center_x':1.359999, 'center_y':2, 'center_z':6, 'gaze_x':1.018601, 'gaze_y':1.941962, 'gaze_z':5.999023
'global_time':4.991481, 'center_x':1.279999, 'center_y':2, 'center_z':6, 'gaze_x':0.9139643, 'gaze_y':1.942991, 'gaze_z':5.99898
'global_time':5.003161, 'center_x':1.2, 'center_y':2, 'center_z':6, 'gaze_x':0.8673916, 'gaze_y':1.939802, 'gaze_z':5.998985
'global_time':5.015633, 'center_x':1.12, 'center_y':2, 'center_z':6, 'gaze_x':0.8208528, 'gaze_y':1.936052, 'gaze_z':5.998992
'global_time':5.030265, 'center_x':1.04, 'center_y':2, 'center_z':6, 'gaze_x':0.7748436, 'gaze_y':1.933476, 'gaze_z':5.998992
'global_time':5.040343, 'center_x':0.9599997, 'center_y':2, 'center_z':6, 'gaze_x':0.7302797, 'gaze_y':1.929187, 'gaze_z':5.999006
'global_time':5.052438, 'center_x':0.8799998, 'center_y':2, 'center_z':6, 'gaze_x':0.6867067, 'gaze_y':1.924695, 'gaze_z':5.999022
'global_time':5.064365, 'center_x':0.7999998, 'center_y':2, 'center_z':6, 'gaze_x':0.6451477, 'gaze_y':1.917841, 'gaze_z':5.999054
'global_time':5.077246, 'center_x':0.7199998, 'center_y':2, 'center_z':6, 'gaze_x':0.6064569, 'gaze_y':1.90907, 'gaze_z':5.999103
