'global_time':0.02, 'head_position_x':0, 'head_position_y':-0.05, 'head_position_z':0
'global_time':2.631819, 'head_position_x':0.2566852, 'head_position_y':1.736747, 'head_position_z':-0.5547062
'global_time':2.643793, 'head_position_x':0.256872, 'head_position_y':1.736777, 'head_position_z':-0.5547438
'global_time':2.656949, 'head_position_x':0.2571346, 'head_position_y':1.736787, 'head_position_z':-0.5547181
'global_time':2.670061, 'head_position_x':0.2577599, 'head_position_y':1.736803, 'head_position_z':-0.5545938
'global_time':2.681446, 'head_position_x':0.257957, 'head_position_y':1.73673, 'head_position_z':-0.5546455
'global_time':2.693742, 'head_position_x':0.2582967, 'head_position_y':1.736767, 'head_position_z':-0.5545202
'global_time':2.709853, 'head_position_x':0.2585745, 'head_position_y':1.73679, 'head_position_z':-0.5544849
'global_time':2.72346, 'head_position_x':0.2587005, 'head_position_y':1.736814, 'head_position_z':-0.5545172
'global_time':2.736923, 'head_position_x':0.2593635, 'head_position_y':1.736938, 'head_position_z':-0.5544572
'global_time':2.75059, 'head_position_x':0.259626, 'head_position_y':1.736943, 'head_position_z':-0.5544271
'global_time':2.763101, 'head_position_x':0.2598235, 'head_position_y':1.736942, 'head_position_z':-0.5545322
'global_time':2.776058, 'head_position_x':0.2601928, 'head_position_y':1.737, 'head_position_z':-0.5544366
'global_time':2.788372, 'head_position_x':0.2604663, 'head_position_y':1.737005, 'head_position_z':-0.5544266
'global_time':2.800111, 'head_position_x':0.2606259, 'head_position_y':1.736987, 'head_position_z':-0.5544447
'global_time':2.814038, 'head_position_x':0.2613253, 'head_position_y':1.737044, 'head_position_z':-0.5545366
'global_time':2.82564, 'head_position_x':0.261616, 'head_position_y':1.737065, 'head_position_z':-0.5545759
'global_time':2.83827, 'head_position_x':0.2618248, 'head_position_y':1.737061, 'head_position_z':-0.5547154
'global_time':2.849184, 'head_position_x':0.2621038, 'head_position_y':1.737097, 'head_position_z':-0.5547223
'global_time':2.861043, 'head_position_x':0.2625282, 'head_position_y':1.737194, 'head_position_z':-0.5548453
'global_time':2.87457, 'head_position_x':0.2626736, 'head_position_y':1.737196, 'head_position_z':-0.5549768
'global_time':2.886885, 'head_position_x':0.2629196, 'head_position_y':1.737274, 'head_position_z':-0.5550016
'global_time':2.898201, 'head_position_x':0.2632719, 'head_position_y':1.737427, 'head_position_z':-0.5550419
'global_time':2.910665, 'head_position_x':0.2634848, 'head_position_y':1.737541, 'head_position_z':-0.5550914
'global_time':2.921766, 'head_position_x':0.2635964, 'head_position_y':1.737597, 'head_position_z':-0.55532
'global_time':2.932858, 'head_position_x':0.2637545, 'head_position_y':1.737665, 'head_position_z':-0.5553818
'global_time':2.942512, 'head_position_x':0.2640658, 'head_position_y':1.737792, 'head_position_z':-0.5553762
'global_time':2.95424, 'head_position_x':0.2642588, 'head_position_y':1.737839, 'head_position_z':-0.5554441
'global_time':2.965485, 'head_position_x':0.2642946, 'head_position_y':1.737878, 'head_position_z':-0.5555251
'global_time':2.976753, 'head_position_x':0.264497, 'head_position_y':1.737951, 'head_position_z':-0.5555735
'global_time':2.988906, 'head_position_x':0.2647668, 'head_position_y':1.738101, 'head_position_z':-0.5555032
'global_time':3.000773, 'head_position_x':0.2648108, 'head_position_y':1.738159, 'head_position_z':-0.5555696
'global_time':3.012233, 'head_position_x':0.2652476, 'head_position_y':1.738334, 'head_position_z':-0.5555991
'global_time':3.023805, 'head_position_x':0.2653992, 'head_position_y':1.738387, 'head_position_z':-0.5556433
'global_time':3.034509, 'head_position_x':0.2653514, 'head_position_y':1.738406, 'head_position_z':-0.5557085
'global_time':3.048007, 'head_position_x':0.2653998, 'head_position_y':1.738455, 'head_position_z':-0.5557627
'global_time':3.058852, 'head_position_x':0.26549, 'head_position_y':1.738549, 'head_position_z':-0.5556582
'global_time':3.070486, 'head_position_x':0.2653395, 'head_position_y':1.738663, 'head_position_z':-0.5556947
'global_time':3.081552, 'head_position_x':0.2651221, 'head_position_y':1.738644, 'head_position_z':-0.5557601
'global_time':3.092624, 'head_position_x':0.2649718, 'head_position_y':1.738606, 'head_position_z':-0.5558299
'global_time':3.104624, 'head_position_x':0.2647038, 'head_position_y':1.738636, 'head_position_z':-0.5559419
'global_time':3.116762, 'head_position_x':0.2643721, 'head_position_y':1.738656, 'head_position_z':-0.5560534
